Name of Series,"Gross Domestic Product (GDP), production, real"
2006Q1,15862.75504
2006Q2,15829.70101
2006Q3,19704.76022
2006Q4,21216.29821
2007Q1,17403.71297
2007Q2,16572.38323
2007Q3,20347.97571
2007Q4,21446.83657
2008Q1,18863.43405
2008Q2,17762.60476
2008Q3,22941.78996
2008Q4,23134.5484
2009Q1,19210.1031
2009Q2,18421.36106
2009Q3,23667.45696
2009Q4,25411.4104
2010Q1,21005.42351
2010Q2,19793.03826
2010Q3,26287.6272
2010Q4,26471.60003
2011Q1,23636.67963
2011Q2,23250.41615
2011Q3,29523.17203
2011Q4,30290.69954
2012Q1,29548.0714
2012Q2,26414.08419
2012Q3,29582.32307
2012Q4,31072.69272
2013Q1,29807.51305
2013Q2,30414.75421
2013Q3,30449.44601
2013Q4,33805.86551
2014Q1,29478.10366
2014Q2,31319.09412
2014Q3,32830.50736
2014Q4,34405.25229
2015Q1,32668.2724
2015Q2,32343.2066
2015Q3,31296.21327
2015Q4,34440.53602
2016Q1,32528.34287
2016Q2,31541.83574
2016Q3,34779.32705
2016Q4,36309.4693
2017Q1,35011.55335
2017Q2,35475.49535
2017Q3,37221.88136
2017Q4,38436.97595
2018Q1,38822.39469
2018Q2,36654.03103
2018Q3,39670.80386
2018Q4,40059.83611
2019Q1,41103.53498
2019Q2,39982.21921
2019Q3,41766.50121
2019Q4,42455.33658
2020Q1,43742.77255
2020Q2,37726.29787
2020Q3,40406.02113
2020Q4,44282.08502
2021Q1,45450.03572
2021Q2,39414.81818
2021Q3,42731.9618
2021Q4,46995.2
2022Q1,46936.7
2022Q2,41349.3
2022Q3,44155.5
2022Q4,48793.5
2023Q1,48419.4
2023Q2,42222.2
2023Q3,45003.2
2023Q4,51281.1
2024Q1,50620
2024Q2,44639.8
2024Q3,48159.1
2024Q4,53957.1
2025Q1,53837.2
2025Q2,47527.1
2025Q3,50795.8
Mnemonic,GHA_NAT_1
Parent Mnemonic,GHA_NAT_0
Databank,NAT
Data Family,National accounts
Data Source,Ghana Statistical Service
Units of Measure,"GHC million, 2013 prices"
First Observation,2006Q1
Frequency,Q
